probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj_idx,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
1,0.29711,1,1,2,1,1,1,1,sub-STSWD1216,-0.37378909995133175,0.9142110190478349,1.0691312386119793,2nd,4th,4th,-0.2640363056093601,1.2150354947650404,1.1578203628413646
1,0.24902,1,1,2,1,1,1,1,sub-STSWD1216,-1.2893233897576402,-0.028013861302963725,1.0623801687104633,1st,3rd,4th,-1.2450177071914317,0.24049706775089263,1.1578203628413646
1,0.37296,1,1,1,1,1,1,1,sub-STSWD1216,0.37021796457122497,-0.5873653362629789,0.9673788573096594,3rd,2nd,4th,0.320141900754554,-0.3329187396169595,1.1578203628413646
1,0.24785,1,1,2,1,1,1,1,sub-STSWD1216,0.3518683415398255,-0.1659454356159459,1.1769380364183823,3rd,2nd,4th,0.320141900754554,-0.3329187396169595,1.1578203628413646
1,0.22778,1,1,1,1,1,1,1,sub-STSWD1216,0.5083467853386174,-0.3997742243143542,1.4872822982380343,3rd,2nd,4th,0.320141900754554,-0.3329187396169595,1.1578203628413646
1,0.24772,1,1,1,1,1,1,1,sub-STSWD1216,-0.6475058226779029,-0.5980730533540206,1.3791673408162946,1st,1st,4th,-1.2450177071914317,-1.1240579115218812,1.1578203628413646
1,0.39463,3,2,1,1,1,1,1,sub-STSWD1216,-0.13987625332007472,-0.10307323774442954,1.6281744028310041,2nd,2nd,4th,-0.2640363056093601,-0.3329187396169595,1.1578203628413646
1,0.43945,4,2,2,1,1,1,1,sub-STSWD1216,-0.4369159761648887,-0.14610338833199416,1.5049342356164648,2nd,2nd,4th,-0.2640363056093601,-0.3329187396169595,1.1578203628413646
1,0.67747,3,2,1,1,1,1,1,sub-STSWD1216,-0.31091824010578,0.40422150681254054,1.4775905902611355,2nd,3rd,4th,-0.2640363056093601,0.24049706775089263,1.1578203628413646
1,0.69534,4,2,1,1,1,1,1,sub-STSWD1216,-0.8353830736107151,-0.6546065193884434,1.3920338610503882,1st,1st,4th,-1.2450177071914317,-1.1240579115218812,1.1578203628413646
1,0.33337,4,2,2,1,1,1,1,sub-STSWD1216,-0.2415419478050958,-1.1250214739214595,1.1059640979730156,2nd,1st,4th,-0.2640363056093601,-1.1240579115218812,1.1578203628413646
1,0.36826,4,2,1,1,1,1,1,sub-STSWD1216,-0.4814307695619807,0.686977961885446,1.1566125714071056,2nd,4th,4th,-0.2640363056093601,1.2150354947650404,1.1578203628413646
0,0.52523,4,2,2,1,1,1,1,sub-STSWD1216,1.1469139938040023,0.3998573787739544,1.1624633525509782,4th,3rd,4th,1.1897887619703815,0.24049706775089263,1.1578203628413646
1,0.51612,3,2,1,1,1,1,1,sub-STSWD1216,-5.378425743950697,0.37201585669124776,0.9266913728111087,1st,3rd,4th,-1.2450177071914317,0.24049706775089263,1.1578203628413646
0,0.77204,1,4,2,1,1,1,1,sub-STSWD1216,1.0700376598153554,0.270388315605085,0.9241747460720645,4th,3rd,4th,1.1897887619703815,0.24049706775089263,1.1578203628413646
1,0.50197,1,4,2,1,1,1,1,sub-STSWD1216,0.8128759359496107,0.7296688936664361,0.6330269739198048,4th,4th,3rd,1.1897887619703815,1.2150354947650404,0.5458885805074755
0,0.56891,2,4,2,1,1,1,1,sub-STSWD1216,1.0919722135364613,-1.454094995888903,0.945133601488497,4th,1st,4th,1.1897887619703815,-1.1240579115218812,1.1578203628413646
1,0.87781,3,4,1,1,1,1,1,sub-STSWD1216,-0.6308967256173498,0.02449495919366385,1.1705783116255675,2nd,3rd,4th,-0.2640363056093601,0.24049706775089263,1.1578203628413646
1,1.0608,3,4,1,1,1,1,1,sub-STSWD1216,-0.4629160776731149,-1.8826270568798014,1.411332306631345,2nd,1st,4th,-0.2640363056093601,-1.1240579115218812,1.1578203628413646
0,1.1726,3,4,2,1,1,1,1,sub-STSWD1216,0.22867100128582277,-0.8356577815797239,1.6435163512861244,3rd,1st,4th,0.320141900754554,-1.1240579115218812,1.1578203628413646
0,0.99156,4,4,2,1,1,1,1,sub-STSWD1216,-0.6852640004755791,-0.7078226073526426,1.6990943445269244,1st,1st,4th,-1.2450177071914317,-1.1240579115218812,1.1578203628413646
1,0.78253,4,4,1,1,1,1,1,sub-STSWD1216,1.9318379228118052,4.162643867054177,1.8616369383297768,4th,4th,4th,1.1897887619703815,1.2150354947650404,1.1578203628413646
1,0.73142,3,3,1,1,1,1,1,sub-STSWD1216,0.621187685121851,0.5639105855418981,1.4818085718910285,3rd,4th,4th,0.320141900754554,1.2150354947650404,1.1578203628413646
1,0.95848,1,3,1,1,1,1,1,sub-STSWD1216,0.20217880156198356,0.6645647280464493,1.300691258815499,3rd,4th,4th,0.320141900754554,1.2150354947650404,1.1578203628413646
1,1.1123,4,3,2,1,1,1,1,sub-STSWD1216,0.31043326279805467,0.4649202262382008,1.2342694194480046,3rd,3rd,4th,0.320141900754554,0.24049706775089263,1.1578203628413646
1,0.96621,4,3,2,1,1,1,1,sub-STSWD1216,-2.9543973401454635,0.8472836769687798,1.4329345769746864,1st,4th,4th,-1.2450177071914317,1.2150354947650404,1.1578203628413646
1,0.46318,4,3,1,1,1,1,1,sub-STSWD1216,0.6412447622909945,-0.04182816048487118,1.0593556608581047,4th,3rd,4th,1.1897887619703815,0.24049706775089263,1.1578203628413646
1,0.66308,4,3,1,1,1,1,1,sub-STSWD1216,0.6680877732754221,0.6060989557285063,0.9311425162480783,4th,4th,4th,1.1897887619703815,1.2150354947650404,1.1578203628413646
1,0.50504,1,3,2,1,1,1,1,sub-STSWD1216,-0.7535812924695805,0.07170649772828576,1.1725109491653654,1st,3rd,4th,-1.2450177071914317,0.24049706775089263,1.1578203628413646
1,0.688,4,3,1,1,1,1,1,sub-STSWD1216,0.5174078573171891,1.610055308819701,0.8409459046761755,3rd,4th,3rd,0.320141900754554,1.2150354947650404,0.5458885805074755
1,0.66896,4,4,1,1,1,1,1,sub-STSWD1216,-1.6201607791963308,-1.058795216135262,0.8114037100983407,1st,1st,3rd,-1.2450177071914317,-1.1240579115218812,0.5458885805074755
1,0.70494,4,4,2,1,1,1,1,sub-STSWD1216,0.4501205874189222,0.29014240776359806,0.8625541661716107,3rd,3rd,4th,0.320141900754554,0.24049706775089263,1.1578203628413646
1,0.68287,4,4,2,1,1,1,1,sub-STSWD1216,0.0457304218346645,-1.2570160708488132,1.0148513842849431,3rd,1st,4th,0.320141900754554,-1.1240579115218812,1.1578203628413646
0,1.0408,1,4,2,1,1,1,1,sub-STSWD1216,-1.3048266021310087,0.476653042023447,0.9229622102003742,1st,3rd,4th,-1.2450177071914317,0.24049706775089263,1.1578203628413646
0,0.78772,2,4,1,1,1,1,1,sub-STSWD1216,0.2316612312256624,-0.425376624137779,1.029141888440731,3rd,2nd,4th,0.320141900754554,-0.3329187396169595,1.1578203628413646
1,0.62162,1,4,1,1,1,1,1,sub-STSWD1216,0.9484061659373064,0.44554998727757616,1.1511585563055333,4th,3rd,4th,1.1897887619703815,0.24049706775089263,1.1578203628413646
1,0.83948,3,4,2,1,1,1,1,sub-STSWD1216,1.0082037495346585,0.2629512016163775,1.1837025099466252,4th,3rd,4th,1.1897887619703815,0.24049706775089263,1.1578203628413646
